timeframe,open_time,open,high,low,close,volume
2h,1778853600.0,1.4311,1.4409,1.4257,1.4344,41984234.9
2h,1778860800.0,1.4344,1.4502,1.4331,1.446,23230810.4
2h,1778868000.0,1.446,1.4487,1.4308,1.4334,17319220.9
2h,1778875200.0,1.4334,1.4364,1.429,1.4295,13825216.7
2h,1778882400.0,1.4295,1.4345,1.4289,1.433,9322451.1
2h,1778889600.0,1.433,1.438,1.4303,1.436,12354762.3
2h,1778896800.0,1.436,1.4385,1.4328,1.4347,6167700.2
2h,1778904000.0,1.4347,1.4357,1.4133,1.4241,48047614.1
2h,1778911200.0,1.4241,1.4256,1.4033,1.4158,36542056.0
2h,1778918400.0,1.4158,1.4174,1.4002,1.4015,25848848.4
2h,1778925600.0,1.4015,1.4129,1.3953,1.41,25840421.4
2h,1778932800.0,1.41,1.4147,1.407,1.4109,14412055.9
2h,1778940000.0,1.4109,1.4143,1.405,1.4139,17081588.7
2h,1778947200.0,1.4139,1.4213,1.4126,1.4162,13175726.9
2h,1778954400.0,1.4162,1.4172,1.4131,1.4154,4699569.0
2h,1778961600.0,1.4154,1.4182,1.412,1.4143,5902307.6
2h,1778968800.0,1.4143,1.4151,1.4109,1.4129,3872922.2
2h,1778976000.0,1.4129,1.417,1.4028,1.4029,17105524.9
2h,1778983200.0,1.4029,1.4132,1.4016,1.4113,15808751.9
2h,1778990400.0,1.4113,1.4208,1.4108,1.4155,7547885.9
2h,1778997600.0,1.4155,1.4204,1.4149,1.4176,6878572.4
2h,1779004800.0,1.4176,1.4208,1.4124,1.42,11751195.5
2h,1779012000.0,1.42,1.4281,1.4199,1.4217,17217184.3
2h,1779019200.0,1.4217,1.4259,1.416,1.4178,9072576.2
2h,1779026400.0,1.4178,1.4182,1.4081,1.4123,13206247.8
2h,1779033600.0,1.4123,1.4153,1.4075,1.4104,8114115.9
2h,1779040800.0,1.4104,1.425,1.4057,1.4217,17447651.7
2h,1779048000.0,1.4217,1.4258,1.4169,1.4225,11409608.0
2h,1779055200.0,1.4225,1.4225,1.368,1.4009,90883879.8
2h,1779062400.0,1.4009,1.4011,1.3842,1.3935,40657436.7
2h,1779069600.0,1.3935,1.4022,1.3892,1.3924,22425388.9
2h,1779076800.0,1.3924,1.3991,1.3864,1.3887,18127089.7
2h,1779084000.0,1.3887,1.3916,1.3759,1.386,32691848.5
2h,1779091200.0,1.386,1.3889,1.3814,1.3821,8536866.1
2h,1779098400.0,1.3821,1.3966,1.3754,1.3899,19857201.0
2h,1779105600.0,1.3899,1.4016,1.3756,1.3853,31951130.6
2h,1779112800.0,1.3853,1.3853,1.3676,1.3758,28515915.4
2h,1779120000.0,1.3758,1.383,1.3696,1.3802,10797067.6
2h,1779127200.0,1.3802,1.3905,1.3626,1.3871,33558590.4
2h,1779134400.0,1.3871,1.3954,1.3812,1.3924,13302854.4
2h,1779141600.0,1.3924,1.3958,1.3879,1.3893,8635627.5
2h,1779148800.0,1.3893,1.3975,1.3839,1.3839,10253296.3
2h,1779156000.0,1.3839,1.3878,1.3739,1.383,22651127.5
2h,1779163200.0,1.383,1.388,1.3778,1.3824,16317797.4
2h,1779170400.0,1.3824,1.3892,1.3807,1.3879,22882828.2
2h,1779177600.0,1.3879,1.3882,1.3697,1.3739,20462316.4
2h,1779184800.0,1.3739,1.377,1.367,1.3715,23987933.1
2h,1779192000.0,1.3715,1.3816,1.3698,1.3762,22772913.1
2h,1779199200.0,1.3762,1.3792,1.3601,1.3668,24348689.0
2h,1779206400.0,1.3668,1.3738,1.3617,1.3636,11376919.2
2h,1779213600.0,1.3636,1.3675,1.3555,1.3566,23663463.2
2h,1779220800.0,1.3566,1.3628,1.3551,1.3593,18968748.7
2h,1779228000.0,1.3593,1.3651,1.3524,1.361,10690566.4
2h,1779235200.0,1.361,1.3633,1.347,1.3546,23590255.2
2h,1779242400.0,1.3546,1.3581,1.3492,1.3555,7266718.5
2h,1779249600.0,1.3555,1.3694,1.3529,1.3676,13715697.3
2h,1779256800.0,1.3676,1.3736,1.366,1.3677,8273232.3
2h,1779264000.0,1.3677,1.3723,1.3651,1.3693,8817199.0
2h,1779271200.0,1.3693,1.3752,1.3636,1.3649,10852696.4
2h,1779278400.0,1.3649,1.3752,1.3581,1.3637,17880468.6
2h,1779285600.0,1.3637,1.3799,1.3576,1.3737,39326437.5
2h,1779292800.0,1.3737,1.3796,1.3653,1.3746,18721331.7
2h,1779300000.0,1.3746,1.3763,1.3636,1.3719,17516405.4
2h,1779307200.0,1.3719,1.3723,1.3632,1.3662,10111934.7
