timestamp,balance,equity,unrealized_pnl
1774880915.755116,999.9,999.9,0.0
1774880977.6605892,999.9,999.52304792674,-0.3769520732600033
1774881040.726212,999.3768336029199,999.0539752301198,-0.3228583728000242
1774881103.5207837,999.3768336029199,999.3768336029199,0.0
1774881163.5907166,999.3768336029199,998.6234973997199,-0.7533362032000067
1774881225.4076047,999.3768336029199,998.5696876709198,-0.8071459319999859
1774881285.654068,999.3768336029199,998.8925460437198,-0.4842875592000363
1774881346.22036,999.3768336029199,998.0315903829198,-1.3452432200000013
1774881406.4360683,999.3768336029199,996.4172985189198,-2.9595350840000476
1774881469.3994088,999.3768336029199,996.5249179765199,-2.8519156264000145
1774881529.8418884,999.3768336029199,997.5473028237199,-1.8295307792000375
1774881590.5925176,999.3768336029199,997.6011125525199,-1.7757210503999838
1774881651.555124,999.3768336029199,997.7625417389198,-1.6142918640000463
1774881712.0103517,999.3768336029199,997.0092055357198,-2.3676280671999783
1774881777.0019963,999.3768336029199,997.1706347221199,-2.206198880800041
1774881839.9085205,996.9172769933198,997.2416013176198,0.32432432430002434
1774881901.3815093,996.9172769933198,997.2956553716698,0.3783783783500034
1774881961.5846796,996.9172769933198,997.6199796959698,0.7027027026500277
1774882024.1948555,996.9172769933198,997.0253851014197,0.10810810809995809
1774882085.883918,996.1766283428198,995.6907196936298,-0.4859086491899615
