timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1767225600.0,1.8423,1.8447,1.8406,1.8409,235623.23,0.0,0.0,0
15m,1767226500.0,1.8409,1.8443,1.8409,1.8442,277958.87,0.0,0.0,0
15m,1767227400.0,1.8442,1.8464,1.8427,1.8442,232753.08,0.0,0.0,0
15m,1767228300.0,1.8442,1.8499,1.843,1.8456,442247.86,0.0,0.0,0
15m,1767229200.0,1.8456,1.8478,1.8441,1.8471,191883.13,0.0,0.0,0
15m,1767230100.0,1.8471,1.848,1.8426,1.8426,260828.94,0.0,0.0,0
15m,1767231000.0,1.8426,1.8443,1.8406,1.8434,204476.99,0.0,0.0,0
15m,1767231900.0,1.8434,1.8437,1.8409,1.8416,115952.24,0.0,0.0,0
15m,1767232800.0,1.8416,1.8431,1.8407,1.8421,107114.55,0.0,0.0,0
15m,1767233700.0,1.8421,1.8425,1.8396,1.84,176430.18,0.0,0.0,0
15m,1767234600.0,1.84,1.8434,1.84,1.8419,274420.95,0.0,0.0,0
15m,1767235500.0,1.8419,1.842,1.84,1.84,345370.03,0.0,0.0,0
15m,1767236400.0,1.84,1.8416,1.8391,1.8416,147905.54,0.0,0.0,0
15m,1767237300.0,1.8416,1.842,1.8401,1.8406,76759.55,0.0,0.0,0
15m,1767238200.0,1.8406,1.8414,1.8396,1.8399,53128.56,0.0,0.0,0
15m,1767239100.0,1.8399,1.8399,1.834,1.8346,401766.92,0.0,0.0,0
15m,1767240000.0,1.8346,1.8347,1.8285,1.8286,451948.52,0.0,0.0,0
15m,1767240900.0,1.8286,1.8306,1.826,1.8297,360188.31,0.0,0.0,0
15m,1767241800.0,1.8297,1.8319,1.8293,1.8293,313021.17,0.0,0.0,0
15m,1767242700.0,1.8293,1.8318,1.8283,1.831,170358.84,0.0,0.0,0
15m,1767243600.0,1.831,1.8451,1.8308,1.8451,728562.06,0.0,0.0,0
15m,1767244500.0,1.8451,1.8521,1.8448,1.8521,719879.88,0.0,0.0,0
15m,1767245400.0,1.8521,1.8558,1.8472,1.8482,443049.17,0.0,0.0,0
15m,1767246300.0,1.8482,1.849,1.8447,1.845,127899.17,0.0,0.0,0
15m,1767247200.0,1.845,1.8477,1.8443,1.8474,133662.18,0.0,0.0,0
15m,1767248100.0,1.8474,1.8474,1.8447,1.8467,104177.41,0.0,0.0,0
15m,1767249000.0,1.8467,1.8474,1.8457,1.846,55227.64,0.0,0.0,0
15m,1767249900.0,1.846,1.8479,1.8452,1.8453,101191.49,0.0,0.0,0
15m,1767250800.0,1.8453,1.847,1.8442,1.8451,57874.89,0.0,0.0,0
15m,1767251700.0,1.8451,1.8463,1.8428,1.8433,83206.57,0.0,0.0,0
15m,1767252600.0,1.8433,1.8452,1.8433,1.8437,56509.79,0.0,0.0,0
15m,1767253500.0,1.8437,1.8437,1.8415,1.8422,100704.85,0.0,0.0,0
