timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1754006400.0,3.0218,3.0241,2.9782,2.993,2918874.51,0.0,0.0,0
15m,1754007300.0,2.993,3.0254,2.9918,3.0034,1858419.64,0.0,0.0,0
15m,1754008200.0,3.0034,3.01,2.981,2.9843,1531078.62,0.0,0.0,0
15m,1754009100.0,2.9843,2.99,2.9283,2.9865,5845155.31,0.0,0.0,0
15m,1754010000.0,2.9865,2.998,2.9455,2.9496,2684863.79,0.0,0.0,0
15m,1754010900.0,2.9496,2.9754,2.9367,2.9698,3155823.87,0.0,0.0,0
15m,1754011800.0,2.9698,2.9919,2.9572,2.9847,1478906.28,0.0,0.0,0
15m,1754012700.0,2.9847,2.9918,2.969,2.9858,982974.72,0.0,0.0,0
15m,1754013600.0,2.9858,3.0061,2.9772,3.0052,1412157.41,0.0,0.0,0
15m,1754014500.0,3.0052,3.0167,3.0003,3.0052,2100871.47,0.0,0.0,0
15m,1754015400.0,3.0052,3.0236,3.0018,3.015,862828.66,0.0,0.0,0
15m,1754016300.0,3.015,3.022,3.0113,3.0189,1027376.88,0.0,0.0,0
15m,1754017200.0,3.0189,3.0191,3.0019,3.0027,394445.1,0.0,0.0,0
15m,1754018100.0,3.0027,3.0239,3.002,3.0188,610534.79,0.0,0.0,0
15m,1754019000.0,3.0188,3.0203,3.006,3.0076,406416.98,0.0,0.0,0
15m,1754019900.0,3.0076,3.0112,2.9937,2.9978,535513.13,0.0,0.0,0
15m,1754020800.0,2.9978,2.9978,2.9793,2.9902,795982.31,0.0,0.0,0
15m,1754021700.0,2.9902,2.991,2.9763,2.9815,1027218.83,0.0,0.0,0
15m,1754022600.0,2.9815,2.9918,2.9735,2.9881,943935.32,0.0,0.0,0
15m,1754023500.0,2.9881,2.9902,2.9784,2.9855,401012.07,0.0,0.0,0
15m,1754024400.0,2.9855,2.9964,2.9806,2.9949,629547.5,0.0,0.0,0
15m,1754025300.0,2.9949,2.9956,2.968,2.969,789979.75,0.0,0.0,0
15m,1754026200.0,2.969,2.9819,2.9548,2.9623,1589511.75,0.0,0.0,0
15m,1754027100.0,2.9623,2.9663,2.9514,2.9587,825870.45,0.0,0.0,0
15m,1754028000.0,2.9587,2.9671,2.9427,2.9483,1170421.2,0.0,0.0,0
15m,1754028900.0,2.9483,2.9546,2.9398,2.9438,808754.67,0.0,0.0,0
15m,1754029800.0,2.9438,2.9526,2.9348,2.9381,1070424.64,0.0,0.0,0
15m,1754030700.0,2.9381,2.9647,2.9365,2.9621,940515.92,0.0,0.0,0
15m,1754031600.0,2.9621,2.9716,2.9493,2.9577,916102.4,0.0,0.0,0
15m,1754032500.0,2.9577,2.9653,2.9443,2.9465,565108.78,0.0,0.0,0
15m,1754033400.0,2.9465,2.9539,2.9389,2.9517,938948.06,0.0,0.0,0
15m,1754034300.0,2.9517,2.9595,2.9402,2.9555,792626.12,0.0,0.0,0
15m,1754035200.0,2.9555,2.9555,2.8926,2.9128,4802659.87,0.0,0.0,0
15m,1754036100.0,2.9128,2.9293,2.9031,2.9125,1705463.39,0.0,0.0,0
15m,1754037000.0,2.9125,2.9309,2.8994,2.9239,1941683.12,0.0,0.0,0
15m,1754037900.0,2.9239,2.9329,2.915,2.9156,682673.48,0.0,0.0,0
15m,1754038800.0,2.9156,2.94,2.9125,2.9237,1025744.73,0.0,0.0,0
15m,1754039700.0,2.9237,2.9384,2.92,2.9356,688145.14,0.0,0.0,0
15m,1754040600.0,2.9356,2.9417,2.9277,2.9407,554701.26,0.0,0.0,0
15m,1754041500.0,2.9407,2.9407,2.9208,2.9222,380097.97,0.0,0.0,0
15m,1754042400.0,2.9222,2.9411,2.9196,2.9409,516038.12,0.0,0.0,0
15m,1754043300.0,2.9409,2.9492,2.9403,2.9429,577217.6,0.0,0.0,0
15m,1754044200.0,2.9429,2.9583,2.9374,2.9564,609557.67,0.0,0.0,0
15m,1754045100.0,2.9564,2.9582,2.9456,2.9529,759398.19,0.0,0.0,0
15m,1754046000.0,2.9529,2.9554,2.9401,2.9534,546068.93,0.0,0.0,0
15m,1754046900.0,2.9534,2.9575,2.9436,2.9483,481723.22,0.0,0.0,0
15m,1754047800.0,2.9483,2.9589,2.9452,2.9567,338084.86,0.0,0.0,0
15m,1754048700.0,2.9567,2.9719,2.9562,2.9707,459960.16,0.0,0.0,0
